date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1985-02-07,0.7674373069328944,0.7674373069328944,NA,NA,1985-02-03,-4.727173836814114,0.35404372812717355,-0.05,-0.52,1985-02-01
1985-02-08,0.20328843618182546,0.20328843618182546,NA,NA,1985-02-03,-4.727173836814114,0.35404372812717355,-0.05,-0.52,1985-02-01
1985-02-11,-0.9263959354071538,-0.9263959354071538,NA,NA,1985-02-10,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-12,0.02769712315568995,0.02769712315568995,NA,NA,1985-02-10,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-13,1.5333805809002676,1.5333805809002676,NA,NA,1985-02-10,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-14,-0.5140004614187177,-0.5140004614187177,NA,NA,1985-02-10,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-15,-0.44504234206055315,-0.44504234206055315,NA,NA,1985-02-10,-4.727173836814114,0.35404372812717355,-0.05,-0.51,1985-02-01
1985-02-19,-0.14879125112914338,-0.14879125112914338,NA,NA,1985-02-17,-4.727173836814114,0.35404372812717355,-0.05,-0.5,1985-02-01
1985-02-20,-0.08276130900179979,-0.08276130900179979,NA,NA,1985-02-17,-4.727173836814114,0.35404372812717355,-0.05,-0.5,1985-02-01
1985-02-21,-0.5479112767412531,-0.5479112767412531,NA,NA,1985-02-17,-4.727173836814114,0.35404372812717355,-0.05,-0.5,1985-02-01
1985-02-22,-0.461689593888881,-0.461689593888881,NA,NA,1985-02-17,-4.727173836814114,0.35404372812717355,-0.05,-0.5,1985-02-01
1985-02-25,-0.07250899734154714,-0.07250899734154714,NA,NA,1985-02-24,-4.727173836814114,0.35404372812717355,-0.05,-0.49,1985-02-01
1985-02-26,1.0765931022750586,1.0765931022750586,NA,NA,1985-02-24,-4.727173836814114,0.35404372812717355,-0.05,-0.49,1985-02-01
1985-02-27,-0.2542230802395906,-0.2542230802395906,NA,NA,1985-02-24,-4.727173836814114,0.35404372812717355,-0.05,-0.49,1985-02-01
1985-02-28,0.25973984593621324,0.25973984593621324,NA,NA,1985-02-24,-4.727173836814114,0.35404372812717355,-0.05,-0.49,1985-02-01
